TimeSurvived,0.1861793122786514
DamageDealt,0.12343656937691815
Boosts,0.11590683005596288
WalkDistance,0.10450859232195527
LongestKill,0.08692847971696548
gameDuration,0.08278013630509973
Kills,0.07508403586339508
WeaponsAcquired,0.0730434732846505
RideDistance,0.056137849493346235
Heals,0.039107204143653936
HeadshotKills,0.025319533904254555
SwimDistance,0.012479174908205793
KillStreaks,0.012402625456508186
VehicleDestroys,0.0036098029376748597
VehicleKills,0.002479587864702029
DBNOs,0.0005254429354944163
Revives,7.134915256147822e-05
TeamKills,0.0
Assists,0.0
