stats.timeSurvived,0.191667842836636
stats.damageDealt,0.11770966710988538
stats.boosts,0.11551151966411932
stats.walkDistance,0.10106927589811515
stats.kills,0.08452725369678907
gameDuration,0.08439541005822578
stats.longestKill,0.07675175660252928
stats.weaponsAcquired,0.0691076504812339
stats.rideDistance,0.060007145402770905
stats.heals,0.04093790663889518
stats.headshotKills,0.027092833358878774
stats.killStreaks,0.01356475499083512
stats.swimDistance,0.011059816626752778
stats.vehicleDestroys,0.0036013654981268683
stats.roadKills,0.0021403991836233824
stats.DBNOs,0.0008028301820269233
stats.revives,5.257177055633586e-05
stats.teamKills,0.0
stats.assists,0.0
