286,2214,0.0,100.0,0.0,0.0,37.0,1.0,0.0,0.0,1028.0,268.85400000000004,0.0,63.0
287,2214,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,789.0,28.123253000000002,0.0,88.0
288,2214,4.0,427.09808,1.0,0.0,4.0,4.0,191.64577,2323.3994,1229.0,1692.4289999999999,4.0,21.0
289,2214,4.0,199.41365,0.0,0.0,28.0,1.0,0.0,0.0,1647.0,1688.4764,0.0,31.0
290,2214,0.0,25.199999,0.0,0.0,44.0,0.0,0.0,4562.7593,1629.0,1043.2439,13.0,6.0
291,2214,1.0,239.20155,0.0,8.0,15.0,2.0,0.0,0.0,1402.0,1448.7795,0.0,43.0
292,2214,3.0,135.33423,0.0,4.0,23.0,1.0,0.0,0.0,1967.0,3381.298,0.0,16.0
293,2214,1.0,32.064743,0.0,0.0,79.0,0.0,0.0,0.0,873.0,141.11992,0.0,76.0
294,2214,0.0,62.85499599999999,0.0,11.0,51.0,0.0,0.0,0.0,1150.0,2822.0918,4.0,25.0
295,2214,3.0,216.00002,0.0,1.0,12.0,2.0,0.0,0.0,2214.0,4648.4277,0.0,8.0
296,2214,3.0,12.499447,0.0,0.0,53.0,0.0,0.0,0.0,1685.0,3111.5059,0.0,30.0
297,2214,0.0,27.032494,0.0,0.0,38.0,1.0,0.0,0.0,1000.0,255.95293999999998,0.0,65.0
298,2214,1.0,96.20416999999999,0.0,0.0,66.0,0.0,0.0,0.0,1236.0,517.7371,0.0,53.0
299,2214,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,975.0,295.99948,0.0,70.0
300,2214,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,766.0,89.51443499999999,0.0,94.0
301,2214,2.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,1567.0,1586.7079999999999,0.0,35.0
302,2214,4.0,287.0,0.0,6.0,8.0,3.0,0.0,0.0,2033.0,3027.7476,0.0,12.0
303,2214,1.0,182.56842,0.0,5.0,17.0,2.0,0.0,0.0,1253.0,980.5709,0.0,50.0
304,2214,0.0,0.0,0.0,0.0,60.0,0.0,0.0,275.6318,791.0,1333.1301,5.0,40.0
305,2214,0.0,37.41806,0.0,0.0,82.0,0.0,0.0,0.0,850.0,119.952126,0.0,79.0
306,2214,0.0,91.090294,0.0,0.0,76.0,0.0,0.0,0.0,905.0,389.59323,0.0,73.0
307,2214,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,892.0,140.44016000000002,0.0,74.0
308,2214,2.0,0.0,0.0,1.0,49.0,0.0,0.0,0.0,1176.0,2347.8662,7.0,23.0
309,2214,0.0,57.105003,0.0,0.0,80.0,0.0,0.0,0.0,861.0,138.40958999999998,0.0,77.0
310,2214,0.0,88.48631,0.0,1.0,70.0,0.0,0.0,0.0,1065.0,715.68256,0.0,60.0
311,2214,1.0,159.10501000000002,0.0,0.0,34.0,1.0,0.0,0.0,1184.0,1093.1261,0.0,54.0
312,2214,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,750.0,82.27736999999999,0.0,98.0
313,2214,0.0,143.3732,0.0,0.0,18.0,2.0,0.0,0.0,1245.0,1168.8507,0.0,51.0
314,2214,2.0,109.517494,0.0,3.0,25.0,1.0,0.0,0.0,1736.0,2596.6694,0.0,27.0
