,name,account_id,season,rank,assists,damageDealt,days,headshotKills,heals,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,wins
0,Box Of X,account.fc94502438014214b9aac5d2e4595695,xbox-01,85,218,359073.6,117,634,4209,3323,379.28177,1961.282,1044,4,1961.282,1276553.6,13,14,1248,25,11048.037,1421619.8,535,20,2393122.0,7780,205
0,roygrooveman240,account.f39cc6171ba94ab1b4a4516c6353d44a,xbox-02,85,18,71417.93,59,172,570,622,197.78297,2083.711,763,6,2083.711,472240.4,17,9,767,23,9057.8125,536454.0,73,5,874244.06,2657,4
0,BlamBlam187,account.3488aeab37984ff3b53c7a4c5887a421,xbox-02,86,146,224274.67,114,481,1257,1906,382.49963,2191.099,786,6,2191.099,1075639.4,29,14,863,10,9320.963,1012361.2,357,49,945204.5,4301,78
0,PBnSapper22,account.31a5eb98acdc4778a49227cbbfad7638,xbox-01,86,186,314521.16,119,648,1466,2678,405.58264,2105.527,1112,4,2105.527,934746.0,16,15,1187,20,4364.8296,1184083.1,335,55,1748636.5,7402,75
0,CrushableSkink1,account.6a4f45b27cd24047a73b9f55b2a59ae4,xbox-01,87,101,193952.38,119,265,2667,1499,308.51147,1974.985,2621,5,1974.985,1113071.4,11,7,2624,34,30385.645,2024144.2,251,22,3550961.2,11239,3
0,Balestra SP,account.284d1a4b6fa84d79891c64d7a3b3bb34,xbox-02,87,24,71656.875,56,146,442,611,298.65582,1922.824,629,4,1922.824,235251.55,1,9,629,8,3269.025,426093.28,57,0,776863.44,2623,0
0,SoF I FunSnip3r,account.7defffb24f0c425eb0a2d257f3273d29,xbox-01,88,98,267966.8,83,503,2493,2478,294.2258,2186.084,1127,4,2186.084,1211821.4,43,13,1160,15,3950.8433,1055581.2,255,54,2079921.1,5444,33
0,Feyd101,account.daedbef56f964a318dbf80e8e9670739,xbox-02,88,101,214071.45,76,496,734,1956,390.21606,2173.817,345,4,2173.817,385546.44,5,20,431,3,1178.4917,433115.0,169,24,708993.9,2224,86
0,YowanZ,account.992d66318e8142008ca55d5db62fe2c2,xbox-02,89,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0
0,gregemon82,account.0887fcf20f3a4197af1913093ce73766,xbox-01,89,119,162593.81,75,291,1889,1176,320.59705,2185.695,1207,3,2185.695,562521.8,20,7,1219,17,8280.281,1040904.9,182,29,1314158.2,6451,12
0,Carlos99874,account.6037069fc5c24b81b397b94f6e372aff,xbox-02,90,69,90734.305,98,162,1481,659,249.9866,1970.248,1380,5,1970.248,648396.8,2,7,1386,40,31825.783,1340755.1,263,11,2860443.8,6330,6
0,bl4St X xMORSE,account.08cac633660b43bc9acc4327b50a635b,xbox-01,90,205,500965.56,112,986,2628,4614,534.2834,1981.21,1665,3,1981.21,1173957.9,29,19,1727,28,6530.931,1044672.94,209,69,1893467.8,7001,62
0,GetYourGAM3on13,account.4c79ff05a7c448d883bfe610dcf7c0c6,xbox-02,91,39,69619.42,94,94,664,594,186.7689,2078.501,506,2,2078.501,1085288.8,7,8,521,5,4295.665,640250.75,203,56,762990.1,3579,15
0,OilySoup,account.c0d66fe4bc0e4216aabd834cfee8c45a,xbox-01,91,153,277659.38,89,562,1647,2326,395.7884,1967.373,1179,4,1967.373,680400.3,8,10,1213,23,18007.68,1116270.8,240,52,2110680.2,6669,34
0,DopeMagic93,account.d7bd570ee0cc4d99a5db371973cd4b8d,xbox-02,92,49,72003.016,45,182,236,566,424.82996,2185.269,245,2,2185.269,417153.1,4,11,265,2,1652.2421,351463.62,99,5,711102.94,1465,20
0,VANSTICKYY604,account.678af9b3d5db467e83c1c20f9876735c,xbox-01,92,172,278854.84,98,582,2223,2278,509.13815,2047.221,1110,6,2047.221,2805138.5,28,15,1192,34,16987.7,1107660.8,260,88,1594745.9,6538,83
0,Itxsnip,account.a6fff1961d1c485bbd24bb54d5ad1d80,xbox-01,93,133,355545.38,101,652,2612,3151,476.9092,2179.647,1396,4,2179.647,1698637.5,49,13,1445,61,12421.589,1034129.2,198,55,1524154.6,6996,49
0,RGNGBULL187,account.30e02799c5584b6a8fe66ff83c5b5dae,xbox-02,93,54,109313.06,95,183,1010,910,352.17038,2174.0,644,3,2174.0,687078.2,16,9,667,19,3698.4731,615688.9,167,11,719852.56,3697,24
